epoch,train_loss,train_iou,val_loss,val_iou
1,1.0948201765616734,0.04172948170895441,1.0128152583326613,0.07142861272804933
2,0.9945367869167101,0.06547623293686493,0.9759017101355961,0.07142861272804933
3,0.9448761127534366,0.10234228026709828,0.920168630424,0.3055254359662571
4,0.8998106895458131,0.2700064780583244,0.881808163864272,0.2707700136572694
5,0.8749838792497203,0.3051248873456274,0.8632415476299468,0.3126567983914554
6,0.8635220733426866,0.32220508451000635,0.8707317993754432,0.36942579874794057
7,0.8601669589323657,0.34683376577804925,0.8544160390184039,0.3337200827217441
8,0.8511155320420152,0.35980757617394654,0.850528631181944,0.35186931150620027
9,0.846061312992658,0.3697190068898952,0.8466437827973139,0.3838853057313599
10,0.8423763753048011,0.38272326049169064,0.8342170378281957,0.437144860648017
11,0.8396252147143796,0.39458280807921847,0.8329042423339117,0.44898893662906464
12,0.8361090586653778,0.4036993630892358,0.8288443631359509,0.4800897585094819
13,0.8319006846064613,0.4120093689338862,0.8384438696361723,0.45110774442245993
14,0.8310339262797719,0.42074006351329335,0.8330669009259769,0.47902374453362484
15,0.8269318919628859,0.4238956713261348,0.8275447360106877,0.47189882682883455
16,0.8259139506235009,0.42433768364827773,0.8211176792780558,0.5072917103397194
17,0.8239652055892206,0.43041179941989394,0.8219503309755098,0.4798752449353837
18,0.8223653729295447,0.44178217841692424,0.8214606770447322,0.4601288341636923
19,0.8176789627898307,0.4496759315125055,0.8172353349980854,0.5197020586018656
20,0.8142757553252435,0.45906501090779417,0.8125853329187348,0.5045381478308242
21,0.815062187434662,0.45595975699059244,0.8173564129642078,0.4616868166802716
22,0.8131741138086432,0.4572682935708322,0.8150516684566226,0.45882128026084257
23,0.6292643896969301,0.4035618587062527,0.22945824305393867,0.44035283986063717
24,0.27373769511246965,0.277664602912182,0.2628929177077398,0.2612227534787632
25,0.22920809831010133,0.3934007500462041,0.19944421864957326,0.4647629518581393
26,0.2314818529578458,0.37829021076115665,0.20025665211003452,0.44860386417072395
27,0.22499282880952315,0.40405163186372745,0.18520967369633062,0.4810838897576425
28,0.2034083781874783,0.4520218957551815,0.1801417761127509,0.5134201598379231
29,0.20109576324743794,0.4338106676513379,0.18773887885202253,0.509362050088962
30,0.2082848581208271,0.43822755207744446,0.192164752854123,0.4256849896415893
31,0.19717290601138734,0.44739247020087786,0.17725844654653752,0.5361923224215728
32,0.20009241096808442,0.47866286812544123,0.17346077891332762,0.5204027849121671
33,0.1937525987048589,0.47879349514291725,0.21087784825691155,0.49020482252172487
34,0.1869829302941937,0.48379577019660697,0.18435150606646425,0.4731560500267886
35,0.19672594109128805,0.4706494960464959,0.1899733646728453,0.5375725860925732
36,0.1923738904241916,0.46982912049288783,0.17576828299622452,0.500254034081071
37,0.17878917168127373,0.49933879308440043,0.17260967314775502,0.528936357317313
38,0.20542739291254075,0.4303560901824727,0.1877352492218571,0.5000207566284455
39,0.19135732510836706,0.4514745393512517,0.1753350821589785,0.5382008475546455
40,0.18400704391699815,0.4844173518216896,0.19510603483234132,0.5114095139753186
41,0.1797178845431301,0.49096338173274795,0.16654503935327133,0.5395502301248843
42,0.18691856209244134,0.4736688225223161,0.1763841568802794,0.5442120304485183
43,0.17707497086597696,0.49672474436627845,0.16003745945081824,0.5596839819518376
44,0.1721001638493146,0.5225032202757875,0.1696763178777127,0.5410929584895372
45,0.17879652479730015,0.46280053146758815,0.17070158648615083,0.5520737322647287
46,0.17345682818753025,0.5008197200014083,0.1710772367327341,0.5099749572339402
47,0.16878687771635928,0.5116870037301032,0.15971328546514824,0.5585485825725024
48,0.18203078208690776,0.521863759406051,0.1666560753115586,0.5693544767620426
49,0.1762787273175837,0.49530229164755535,0.16867088156175755,0.5356788667808998
50,0.18074521432364626,0.5184787890718118,0.16761168810938085,0.5028932571832512
51,0.17736379729051674,0.493662489591503,0.17534580762453733,0.5024843545866753
52,0.18251575341647758,0.47660545183888464,0.17290541194822817,0.494226269809635
53,0.1773749182743597,0.5079751645351851,0.16869718264344902,0.5224428787103298
54,0.1767950301790344,0.4990058795306951,0.16297579261784753,0.551958680667625
55,0.1712150556046427,0.5209995910798562,0.17455556192657068,0.498948231121451
56,0.16274741967763043,0.5230314515413748,0.16145997223932118,0.5660674692345771
57,0.16307117811880917,0.5235741456460242,0.1540141510555432,0.5696210235902207
58,0.17495377165254294,0.5056440499150264,0.15694373298347705,0.5403096627723624
59,0.17380331055305542,0.47912363590517276,0.15991102952864908,0.5431786336559781
60,0.17763439158166183,0.4985164217473174,0.16460209592644656,0.5281009253542619
61,0.16576026813293407,0.5151401408633531,0.15618974495945231,0.5671678042386763
62,0.16686427189935266,0.5298461812131603,0.16519247195018189,0.5795864616662
63,0.16876719755098402,0.5189410606257241,0.1582309734741492,0.5538786169311861
64,0.17114629782181942,0.5142743999710349,0.16484535833643305,0.5336534683205242
65,0.17269589015216166,0.5284324310894799,0.161369910862829,0.5592293120351989
66,0.17186630760884977,0.49834353861248587,0.15912972437217832,0.5375057018732365
67,0.16402729067652086,0.5273088976390243,0.14964115511005124,0.5847547073626073
