fold,epoch,train_loss,train_iou,val_loss,val_iou
1,1,1.0656573309784845,0.05239078787717901,1.0105045849368686,0.08333350213942758
1,2,0.9965074942225501,0.04984763153622935,0.9830107554083779,0.08311636667727232
1,3,0.9226729886872428,0.19856476205954954,0.911580619357881,0.2282382457658987
1,4,0.8981923438253857,0.24491512816185493,0.9150387446085612,0.1505908098078787
1,5,0.889229708484241,0.2605343556439933,0.8997087329626083,0.24977981626750717
1,6,0.87842051699048,0.29206068154495035,0.9073182550214586,0.18145083560622702
1,7,0.8713112528835024,0.3117853201242664,0.9020023722024191,0.22471892291467482
1,8,0.8662821728558767,0.32179376797881604,0.904770777339027,0.24604718804037293
1,9,0.8614589576210294,0.32659486459613174,0.900404168736367,0.22794232033305323
1,10,0.8542880383985383,0.3526147694844156,0.8990601400534312,0.23129422513802217
1,11,0.8506895979955083,0.35625188060202245,0.8787890644300551,0.32294002479465334
1,12,0.8481493486534981,0.36267272152921487,0.912714088956515,0.21068117311419784
1,13,0.8456420005786986,0.37226438135258966,0.8828240583340327,0.29868094684323954
1,14,0.839396042908941,0.40010706628354287,0.9215146686349597,0.2471904125168518
1,15,0.8393150511242095,0.38469572871996455,0.9020868582384927,0.2114510297714894
1,16,0.8374654248356819,0.40204570932839917,0.884012968767257,0.3003517872155811
1,17,0.8341346752075922,0.41338311700747515,0.8938585165001097,0.2536632783950448
1,18,0.6143190000738417,0.2872553617067501,0.3012424861746175,0.08333350213942758
1,19,0.32300865341510093,0.036443941885683805,0.30160619353964213,0.08333350213942758
1,20,0.317531385148565,0.06792181812873387,0.3179180229171401,0.3143074947730663
1,21,0.2658045954115334,0.27717976609981004,0.25618465506427346,0.20415970878182635
1,22,0.25046298891926805,0.32188829629554494,0.2020708180830947,0.3965054084676293
1,23,0.23462690397476157,0.34189802967238325,0.21862891717769561,0.3458250192033878
1,24,0.22595237891766287,0.38416284959651137,0.24961341757859504,0.3751878902712327
1,25,0.2214387510415344,0.39753740976155455,0.177842962089926,0.4519844684932074
1,26,0.2306457856536976,0.3769107954710984,0.2494085589645519,0.22059270150047328
1,27,0.22339573747788866,0.39837042062637656,0.20451964016648985,0.3560514775667472
1,28,0.21726991859752506,0.3806072731112317,0.30263507414963986,0.11861440825020018
1,29,0.20951045836721147,0.4237330883042122,0.19540836644314585,0.379358087358848
1,30,0.20610600175956886,0.3949263492088557,0.22681255776080347,0.30019054122599237
1,31,0.20692287863986122,0.4000154710679171,0.19022012719263634,0.43236365527909093
1,32,0.20706313065297546,0.40907542876374015,0.1858776167611636,0.41781067222656254
1,33,0.20565995102792622,0.4055822319305425,0.18724433949128502,0.42772027579300503
1,34,0.2002144189063637,0.42674352030032636,0.2170427668440555,0.3635281356053413
1,35,0.2045973041050491,0.42838662960779905,0.19716493674509583,0.394042069190347
1,36,0.2130268504976162,0.3983923470216646,0.20206964153441645,0.37015990390824427
1,37,0.20118034057585257,0.4337198043430434,0.20317999224755026,0.3519229869981911
1,38,0.19683548966866163,0.43444111295678844,0.196545484830581,0.3754162906727614
1,39,0.1937153831523444,0.4245248256063126,0.20059237356430717,0.36088159405688564
1,40,0.20262946604884097,0.3991497017226372,0.19101748481348513,0.4077730118729459
1,41,0.20114134260054145,0.4279633281405491,0.18742905630330955,0.44174895491821203
1,42,0.19942768321239523,0.4151194063769133,0.1946812556790454,0.43540887716658216
1,43,0.19736784801241897,0.4299484444656822,0.19923642414089823,0.3822378423898425
1,44,0.19377543834437216,0.4531039382942745,0.18354990230207996,0.440386081454523
1,45,0.1904918597501126,0.4330670408679989,0.1927608527864019,0.4501155624838616
